id,plant_name,unit_name,state,fuel_type,scada_id,intraday_dc_file_tag,installed_capacity,intraday_sch_file_tag,outage_unit_name,day_ahead_dc_file_tag,aux_consumption
73,WTPS_7,7,GJ,Thermal,WRLDCMP.SCADA1.A0017863,WTPS_7,210,WTPS_7,Wanakbori  - UNIT 7,WTPS_7,7.72
74,"Akrimota U1,2","1,2",GJ,Thermal,WRLDCMP.SCADA3.A0109687,AKLTPS,250,AKLTPS,ALTPS  - UNIT 1#ALTPS  - UNIT 2,AKLTPS,11
75,A.E.Co.(Torrent Power),1,GJ,Thermal,WRLDCMP.SCADA3.A0109696,AMGEN_DEF,362,AMGEN_DEF,AECO-D#AECO-E#AECO-F,AMGEN_DEF,9
76,"APL Stage 1 U 1,2,3,4","1,2,3,4",GJ,Thermal,"WRLDCMP.SCADA1.A0048289,
WRLDCMP.SCADA1.A0048291,
WRLDCMP.SCADA1.A0044465,
WRLDCMP.SCADA1.A0044467",APL I_GUVNL,1320,APLI,APL Mundra  - UNIT 1#APL Mundra  - UNIT 2#APL Mundra  - UNIT 3#APL Mundra  - UNIT 4,APL I_GUVNL,7.86
77,"APL Stage 1 U 1,2,3,4","1,2,3,4,Additional",GJ,Thermal,xxx,APMul-1 ADDITIONAL-200,0,APMul-1ADDITIONAL-200,,APMul-1 ADDITIONAL-200,7.86
78,"APL Stage 2 U5,6","5,6",GJ,Thermal,"WRLDCMP.SCADA1.A0044469,
WRLDCMP.SCADA1.A0044471",APL_2_GUVNL,1320,APL_2,APL Mundra  - UNIT 5#APL Mundra  - UNIT 6,APL_2_GUVNL,7.86
79,"APL Stage 2 U5,6","5,6,Additional",GJ,Thermal,xxx,APMul-2 ADDITIONAL-234,0,APMul-2ADDITIONAL-234,,APMul-2 ADDITIONAL-234,7.86
80,"APL Stage 3 U 7, 8","7,8",GJ,Thermal,"WRLDCMP.SCADA1.A0044473,
WRLDCMP.SCADA1.A0044476",APMul-3_UNIT_7_8,1320,,APL Mundra  - UNIT 7#APL Mundra  - UNIT 8,APMul-3_UNIT_7_8,7.86
81,APL Stage  3 U 9,9,GJ,Thermal,WRLDCMP.SCADA1.A0044479,APMul-3_UNIT_9,660,,APL Mundra  - UNIT 9,APMul-3_UNIT_9,7.86
82,"Essar Vadinar U 1,2","1,2",GJ,Thermal,WRLDCMP.SCADA1.A0040046,EPGL,1200,EPGL,VADINAR  - UNIT 1#VADINAR  - UNIT 2,EPGL,6.5
83,SLPP II,"3,4",GJ,Thermal,"WRLDCMP.SCADA1.A0017140, 
WRLDCMP.SCADA1.A0017143 ",SLPP II,250,SLPPII,SLPP  - UNIT 3#SLPP  - UNIT 4,SLPP II,11.25
84,SLPP I,"1,2",GJ,Thermal,"WRLDCMP.SCADA1.A0017134, 
WRLDCMP.SCADA1.A0017137",SLPP-I,250,SLPP-I,SLPP  - UNIT 1#SLPP  - UNIT 2,SLPP-I,11.25
97,Korba West,1,CH,Thermal,WRLDCMP.SCADA1.A0023207,HTPSCSPGCL 1,210,HTPSCSPGCL,KORBA(W) CSETCL - UNIT 1,HTPSCSPGCL 1,8.3
98,Korba West,2,CH,Thermal,WRLDCMP.SCADA1.A0023210,HTPSCSPGCL 2,210,,KORBA(W) CSETCL - UNIT 2,HTPSCSPGCL 2,8.3
99,Korba West,3,CH,Thermal,WRLDCMP.SCADA1.A0023213,HTPSCSPGCL 3,210,,KORBA(W) CSETCL - UNIT 3,HTPSCSPGCL 3,8.3
100,Korba West,4,CH,Thermal,WRLDCMP.SCADA1.A0023216,HTPSCSPGCL 4,210,,KORBA(W) CSETCL - UNIT 4,HTPSCSPGCL 4,8.3
102,Marwa,1,CH,Thermal,WRLDCMP.SCADA1.A0045201,ABVTPSCSPGCL 1,500,ABVTPSCSPGCL,Marwa TPS - UNIT 1,ABVTPSCSPGCL 1,5
103,Marwa,2,CH,Thermal,WRLDCMP.SCADA1.A0045204,ABVTPSCSPGCL 2,500,,Marwa TPS - UNIT 2,ABVTPSCSPGCL 2,5
104,DSPM,1,CH,Thermal,WRLDCMP.SCADA1.A0022572,DSPMCSPGCL 1,250,DSPMCSPGCL,KORBA EAST EXT(DSPM) - UNIT 1,DSPMCSPGCL 1,7.85
105,DSPM,2,CH,Thermal,WRLDCMP.SCADA1.A0022575,DSPMCSPGCL 2,250,,KORBA EAST EXT(DSPM) - UNIT 2,DSPMCSPGCL 2,7.85
106,Korba West Stg 2,1,CH,Thermal,WRLDCMP.SCADA1.A0045571,KWE500CSPGCL 1,500,KWE500CSPGCL,KORBA(W) CSETCL - UNIT 5,KWE500CSPGCL 1,8.3
107,Jaigad,"2,3,4",MH,Thermal,"WRLDCMP.SCADA1.A0045778, WRLDCMP.SCADA1.A0045782, WRLDCMP.SCADA1.A0045786",JSWEL_U234,900,JSWEL_U234,Jaigad  - UNIT 2#Jaigad  - UNIT 3#Jaigad  - UNIT 4,JSWEL_U234,8.33
108,KADANA,"1,2,3,4",GJ,Hydro,WRLDCMP.SCADA3.A0110619,KHPS,240,KHPS,Kadana  - UNIT 1#Kadana  - UNIT 2#Kadana  - UNIT 3#Kadana  - UNIT 4,KHPS,1
109,UKAI HYDRO,"1,2,3,4",GJ,Hydro,WRLDCMP.SCADA3.A0110622,UHPS,300,UHPS,UKAI HYDRO  - UNIT 1#UKAI HYDRO  - UNIT 2#UKAI HYDRO  - UNIT 3#UKAI HYDRO  - UNIT 4,UHPS,0.6
110,Bargi,"1,2",MP,Hydro,WRLDCMP.SCADA1.A0049495,MP_SCA_BAR,90,MP_SCA_BAR,BARGI - UNIT 1#BARGI - UNIT 2,MP_SCA_BAR,1.2
111,BIRSINGHPUR,1,MP,Hydro,WRLDCMP.SCADA1.A0010659,MP_SCA_BIR,20,MP_SCA_BIR,BIRSINGHPUR - UNIT 1,MP_SCA_BIR,6.86
112,INDIRASAGAR,"1,2,3,4,5,6,7,8",MP,Hydro,WRLDCMP.SCADA1.A0049501,MP_SCA_ISP,1000,MP_SCA_ISP,INDIRASAGAR - UNIT 1#INDIRASAGAR - UNIT 2#INDIRASAGAR - UNIT 3#INDIRASAGAR - UNIT 4#INDIRASAGAR - UNIT 5#INDIRASAGAR - UNIT 6#INDIRASAGAR - UNIT 7#INDIRASAGAR - UNIT 8,MP_SCA_ISP,1
113,OMKARESHWAR,"1,2,3,4,5,6,7,8",MP,Hydro,WRLDCMP.SCADA1.A0049513,MP_SCA_OSP,520,MP_SCA_OSP,OMKARESHWAR - UNIT 1#OMKARESHWAR - UNIT 2#OMKARESHWAR - UNIT 3#OMKARESHWAR - UNIT 4#OMKARESHWAR - UNIT 5#OMKARESHWAR - UNIT 6#OMKARESHWAR - UNIT 7#OMKARESHWAR - UNIT 8,MP_SCA_OSP,1
114,MADIKHEADA,"1,2,3",MP,Hydro,WRLDCMP.SCADA1.A0006651,MP_SCA_MAD,60,MP_SCA_MAD,Madikheada - UNIT 1#Madikheada - UNIT 2#Madikheada - UNIT 3,MP_SCA_MAD,1.2
115,PENCH,"1,2",MP,Hydro,WRLDCMP.SCADA1.A0049514,MP_SCA_PEN,160,MP_SCA_PEN,PENCH - UNIT 1#PENCH - UNIT 2,MP_SCA_PEN,1.3
116,RAJGHAT HYDRO,"1,2,3",MP,Hydro,WRLDCMP.SCADA1.A0049515,MP_SCA_RAJ,45,MP_SCA_RAJ,Rajghat Hydro - UNIT 1#Rajghat Hydro - UNIT 2#Rajghat Hydro - UNIT 3,MP_SCA_RAJ,1.2
117,BANASAGAR TONS,"1,2,3",MP,Hydro,WRLDCMP.SCADA1.A0049525,MP_SCA_BSR_1,315,MP_SCA_BSR_1,BANASAGAR TONS - UNIT 1#BANASAGAR TONS - UNIT 2#BANASAGAR TONS - UNIT 3,MP_SCA_BSR_1,1.2
118,BSGR(SILPARA),"1,2",MP,Hydro,WRLDCMP.SCADA1.A0049519,MP_SCA_BSR_2,30,MP_SCA_BSR_2,BSGR(SILPARA) - UNIT 1#BSGR(SILPARA) - UNIT 2,MP_SCA_BSR_2,1.2
119,BSGR(DEVLONE),"1,2,3",MP,Hydro,WRLDCMP.SCADA1.A0010877,MP_SCA_BSR_3,60,MP_SCA_BSR_3,BSGR(DEVLONE) - UNIT 1#BSGR(DEVLONE) - UNIT 2#BSGR(DEVLONE) - UNIT 3,MP_SCA_BSR_3,1.2
120,JHINNA,"1,2",MP,Hydro,WRLDCMP.SCADA1.A0010844,MP_SCA_BSR_4,20,MP_SCA_BSR_4,Jhinna - UNIT 1#Jhinna - UNIT 2,MP_SCA_BSR_4,1.2
121,BHIRA TR,"1,2",MH,Hydro,WRLDCMP.SCADA3.A0112235,BHIRA_U12,80,BHIRA_U12,BHIRA TR  - UNIT 1#BHIRA TR  - UNIT 2,BHIRA_U12,1.2
122,GHATGHAR,1,MH,Hydro,WRLDCMP.SCADA1.A0046850,GHATGHAR_1,125,GHATGHAR_1,GHATGHAR  - UNIT 1,GHATGHAR_1,1.2
123,GHATGHAR,2,MH,Hydro,xxx,GHATGHAR_2,125,GHATGHAR_2,GHATGHAR  - UNIT 2,GHATGHAR_2,1.2
124,KOYNA,"1,2,3,4",MH,Hydro,"WRLDCMP.SCADA1.A0046968,WRLDCMP.SCADA1.A0046854,WRLDCMP.SCADA1.A0046855,WRLDCMP.SCADA1.A0046856",MSPGCL_KOYNAHYDRO,1960,MSPGCL_KOYNAHYDRO,KOYNA DPH  - UNIT 1#KOYNA DPH  - UNIT 2#KOYNA I AND II  - UNIT 1#KOYNA I AND II  - UNIT 2#KOYNA I AND II  - UNIT 3#KOYNA I AND II  - UNIT 4#KOYNA I AND II  - UNIT 5#KOYNA I AND II  - UNIT 6#KOYNA I AND II  - UNIT 7#KOYNA I AND II  - UNIT 8#KOYNA III  - UNIT 1#KOYNA III  - UNIT 2#KOYNA III  - UNIT 3#KOYNA III  - UNIT 4#KOYNA ST-IV  - UNIT 1#KOYNA ST-IV  - UNIT 2#KOYNA ST-IV  - UNIT 3#KOYNA ST-IV  - UNIT 4,MSPGCL_KOYNAHYDRO,1.2
125,TILLARI,1,MH,Hydro,WRLDCMP.SCADA1.A0046866,TILLARI,60,TILLARI,TILLARI  - UNIT 1,TILLARI,1.2
126,"BHIRA,BHIRA PSS, KHOPOLI,BHIVPURI","1,2,3",MH,Hydro,"WRLDCMP.SCADA1.A0046941,WRLDCMP.SCADA1.A0046844,WRLDCMP.SCADA1.A0046970,WRLDCMP.SCADA1.A0046943",TPCL_HYDRO,447,TPCL_HYDRO,BHIRA  - UNIT 1#BHIRA  - UNIT 2#BHIRA  - UNIT 3#BHIRA  - UNIT 4#BHIRA  - UNIT 5#BHIRA  - UNIT 6#BHIRA PSS  - UNIT 1#BHIVPURI  - UNIT 1#KHOPOLI  - UNIT 1#KHOPOLI  - UNIT 2#KHOPOLI  - UNIT 3,TPCL_HYDRO,1.2
127,DGBP,1,GJ,Gas,WRLDCMP.SCADA3.A0109685,"DGBPS_1_GAIL_APM,DGBPS_1_GAIL_RLNG,DGBPS_1_GAIL_WO,DGBPS_1_GSPC_RLNG_HIGH_SEA_GAS,DGBPS_1_SPOT_RLNG",107,"DGBPS_1_GAIL_APM,DGBPS_1_GAIL_RLNG,DGBPS_1_GAIL_WO,DGBPS_1_GSPC_RLNG_HIGH_SEA_GAS,DGBPS_1_SPOT_RLNG",DGBP - UNIT 1,"DGBPS_1_GAIL_APM,DGBPS_1_GAIL_RLNG,DGBPS_1_GAIL_WO,DGBPS_1_GSPC_RLNG_HIGH_SEA_GAS,DGBPS_1_SPOT_RLNG",3
128,DGBP,2,GJ,Gas,xxx,"DGBPS_2_GAIL_APM,DGBPS_2_GAIL_WO,DGBPS_2_GSPC_RLNG,DGBPS_2_GSPC_RLNG_HIGH_SEA_GAS,DGBPS_2_SPOT",112,"DGBPS_2_GAIL_APM,DGBPS_2_GAIL_WO,DGBPS_2_GSPC_RLNG,DGBPS_2_GSPC_RLNG_HIGH_SEA_GAS,DGBPS_2_SPOT",DGBP- UNIT 2,"DGBPS_1_GAIL_APM,DGBPS_1_GAIL_RLNG,DGBPS_1_GAIL_WO,DGBPS_1_GSPC_RLNG_HIGH_SEA_GAS,DGBPS_1_SPOT_RLNG",3
129,DGBP,3,GJ,Gas,WRLDCMP.SCADA3.A0100034,"DGBPS_3_GAIL_SPOT_CC,DGBPS_3_GSPC_RLNG_HIGH_SEA_GAS_CC,DGBPS_3_SPOT_CC",375,"DGBPS_3_GAIL_SPOT_CC,DGBPS_3_GSPC_RLNG_HIGH_SEA_GAS_CC,DGBPS_3_SPOT_CC",DGBP- UNIT 3,"DGBPS_2_GAIL_APM,DGBPS_2_GAIL_WO,DGBPS_2_GSPC_RLNG,DGBPS_2_GSPC_RLNG_HIGH_SEA_GAS,DGBPS_2_SPOT",3
130,GPPC,"1,2",GJ,Gas,WRLDCMP.SCADA3.A0109692,"GPPC_GSPC_RLNG_HIGH_SEA_GAS,GPPC_SPOT",702,"GPPC_GSPC_RLNG_HIGH_SEA_GAS,GPPC_SPOT",GPPC  - UNIT 1#GPPC  - UNIT 2,"DGBPS_3_GAIL_SPOT_CC,DGBPS_3_GSPC_RLNG_HIGH_SEA_GAS_CC,DGBPS_3_SPOT_CC",3
131,Sugen,"1,2,3",GJ,Gas,WRLDCMP.SCADA1.A0004528,"SUGEN, SUGEN_SPOT_RLNG,SUGEN_ebid_RLNG",1147.5,"SUGEN, SUGEN_SPOT_RLNG,SUGEN_ebid_RLNG",SUGEN 1 - UNIT 1#SUGEN 1 - UNIT 2#SUGEN 1 - UNIT 3,"GPPC_GSPC_RLNG_HIGH_SEA_GAS,GPPC_SPOT",3
132,Unosugen,1,GJ,Gas,WRLDCMP.SCADA1.A0043924,"UNOSUGEN,UNOSUGEN_ebid_RLNG",382.5,"UNOSUGEN,UNOSUGEN_ebid_RLNG",UNOSUGEN  - UNIT 1,"SUGEN, SUGEN_SPOT_RLNG,SUGEN_ebid_RLNG",3
133,TROMBAY_GAS,1,MH,Gas,WRLDCMP.SCADA3.A0109532,"TPCL_U7APM,TPCL_U7NAPM",180,"TPCL_U7APM,TPCL_U7NAPM",TROMBAY_GAS - UNIT 7A#TROMBAY_GAS - UNIT 7B,"TPCL_U7APM,TPCL_U7NAPM",3
134,URAN,"1,2,3,4,5,6",MH,Gas,WRLDCMP.SCADA1.A0046872,"URAN_STG_1,URAN_STG_2,URAN_WHRP",672,"URAN_STG_1,URAN_STG_2,URAN_WHRP",Uran  - UNIT 5#Uran  - UNIT 6#Uran  - UNIT 7#Uran  - UNIT 8#Uran - Unit-10 (B0)#Uran - Unit-9 (A0),"URAN_STG_1,URAN_STG_2,URAN_WHRP",3
135,SWPGL,"1,2,3,4",MH,Thermal,WRLDCMP.SCADA3.A0101846,SWPGL_U1234,540,SWPGL_U1234,SWPGL  - UNIT 1#SWPGL  - UNIT 2#SWPGL  - UNIT 3#SWPGL  - UNIT 4,SWPGL_U1234,9.75
