PLANT_ID,PLANT_NAME,FUEL_TYPE,REGION_NAME,STATE_NAME,UTILITY_TYPE,OWNER_NAME,INSTALLED_CAPACITY,EFFECTIVE_CAPACITY,WBES_ACR,SCADA_ID
120,SLPP,LIGNITE,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,500,500,SLPP I$SLPP II,"WRLDCMP.SCADA1.A0017140, 
WRLDCMP.SCADA1.A0017143,WRLDCMP.SCADA1.A0017134, 
WRLDCMP.SCADA1.A0017137"
122,SSP,HYDRO,WEST REGION,GUJARAT,ISGS,SSP (SSNL),1450,1450,SSP,
123,STPS,COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,500,500,Sikka TPS,WRLDCMP.SCADA3.A0110621
124,SUGEN 1,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,1147.5,1147.5,,
125,UKAI,COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,1110,1110,"Ukai TPS U6$Ukai TPS U3, U5$Ukai TPS U4","WRLDCMP.SCADA1.A0017403,WRLDCMP.SCADA1.A0017394,
WRLDCMP.SCADA1.A0017400,WRLDCMP.SCADA1.A0017397"
126,UKAI HYDRO,HYDRO,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,300,300,,
127,UNOSUGEN,LNG,WEST REGION,GUJARAT,STATE_OWNED,Torrent Power (TPL),382.5,382.5,,
128,UTRAN STG II,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,375,375,,
129,Utran Stg,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,405,405,,
130,Wanakbori,COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,2270,2270,"WTPS U8$WTPS U 1,2,4,5,6$WTPS_3$WTPS_7","WRLDCMP.SCADA1.A0017845,
WRLDCMP.SCADA1.A0017848,
WRLDCMP.SCADA1.A0017851,
WRLDCMP.SCADA1.A0017854,
WRLDCMP.SCADA1.A0017857,
WRLDCMP.SCADA1.A0017860,WRLDCMP.SCADA3.A0115641,WRLDCMP.SCADA1.A0017851,WRLDCMP.SCADA1.A0017863"
133,DGEN,LNG,WEST REGION,GUJARAT,REGIONAL_IPP,DGEN,1200,1200,DGEN,
135,ESSAR IPP,COAL,WEST REGION,GUJARAT,STATE_IPP,Gujarat,701,701,,
136,KAWAS,LNG,WEST REGION,GUJARAT,ISGS,NTPC,656.2,656.2,"KAWAS-APM, KAWAS-ComGas, KAWAS-NAPM, KAWAS-RLNG, KAWAS-zLIQ",
141,PVT Hydro,HYDRO,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,20.6,20.6,,
151,AECO,COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,362,362,A.E.Co.(Torrent Power),WRLDCMP.SCADA3.A0109696
152,ESSAR POWER GAS,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,515,515,,
154,GUJARAT WIND,WIND,WEST REGION,GUJARAT,STATE_OWNED,ACBIL,6998,6998,,
171,Gandhinagar(GTPS),COAL,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,630,630,GTPS 5 (Gandhinagar)$GTPS (Gandhinagar),"WRLDCMP.SCADA1.A0013318,WRLDCMP.SCADA1.A0013312,
WRLDCMP.SCADA1.A0013315 "
188,Athena SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,ACBIL,250,250,,
191,BHUVAD WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,230,230,,
192,GIPCL STG 2,LNG,WEST REGION,GUJARAT,STATE_OWNED,GSECL,165,165,,
194,GSEC STG 2,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,351,351,,
437,GIWEL II WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,250,250,,
438,GIWEL III WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,300,300,,
439,IGESL_DAYAPAR_BHUJ_W,WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,250,250,,
442,AWEK1L,WIND,WEST REGION,GUJARAT,RENEWABLE,AGEMPL,425,425,,
443,Alfanar Wind,WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,300,300,,
444,RENEW AP2 WIND (GHADSISA),WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,300,300,,
