PLANT_ID,PLANT_NAME,FUEL_TYPE,REGION_NAME,STATE_NAME,UTILITY_TYPE,OWNER_NAME,INSTALLED_CAPACITY,EFFECTIVE_CAPACITY,WBES_ACR,SCADA_ID
128,UTRAN STG II,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,375,375,Utran_Stg_2,WRLDCMP.SCADA1.A0039950
194,GSEC STG 2,LNG,WEST REGION,GUJARAT,STATE_OWNED,Gujarat,351,351,GSEG_Stg_2,"WRLDCMP.SCADA1.A0015958,WRLDCMP.SCADA1.A0015961"
26,KORBA(W) CSPGCL,COAL,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,1340,1340,Korba West$Korba West Stg 2,WRLDCMP.SCADA1.A0049506
89,APL Mundra,COAL,WEST REGION,GUJARAT,STATE_OWNED,APL-Adani,4620,4620,"APL Stage 1 U 1,2,3,4$APL Stage 2 U5,6$APL Stage 3 U 7, 8$APL Stage  3 U 9",WRLDCMP.SCADA1.A0047244
