PLANT_ID,PLANT_NAME,FUEL_TYPE,REGION_NAME,STATE_NAME,UTILITY_TYPE,OWNER_NAME,INSTALLED_CAPACITY,EFFECTIVE_CAPACITY,WBES_ACR,,
188,Athena SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,ACBIL,250,250,,,
189,OSTRO WIND,WIND,WEST REGION,MADHYA PRADESH,RENEWABLE,Madhya Pradesh,250,250,,,
191,BHUVAD WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,230,230,,,
437,GIWEL II WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,250,250,,,
438,GIWEL III WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,300,300,,,
439,IGESL_DAYAPAR_BHUJ_W,WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,250,250,,,
442,AWEK1L,WIND,WEST REGION,GUJARAT,RENEWABLE,AGEMPL,425,425,,,
443,Alfanar Wind,WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,300,300,,,
444,RENEW AP2 WIND (GHADSISA),WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,300,300,,,
446,TPREL_RSP SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,TPREL,100,100,,,
447,ESPL_RSP SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,ESPL,200,200,,,
448,GIPCL_RSP SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,GIPCL,100,100,,,
449,AWEKFL WIND (RATADIYA),WIND,WEST REGION,GUJARAT,RENEWABLE,AGEMPL,130,130,,,
450,CPTTNPL WIND (DAYAPAR),WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,126,126,,,
451,OEPL WIND (OSTRO KUTCH),WIND,WEST REGION,GUJARAT,RENEWABLE,Gujarat,50,50,,,
452,ASIPL WIND (BARANDA),WIND,WEST REGION,GUJARAT,RENEWABLE,Asipl wind,166,166,,,
455,GSECL_RSP Solar,SOLAR,WEST REGION,GUJARAT,RENEWABLE,GSECL Solar,100,100,,,
456,KAWAS SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,KAWAS SOLAR,56,56,,,
457,POWERICA WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,POWERICA,50.6,50.6,,,
458,SITAC WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,SITAC,300,300,,,
459,SRIJAN WIND,WIND,WEST REGION,GUJARAT,RENEWABLE,Srijan,148.5,148.5,,,
460,GANDHAR SOLAR,SOLAR,WEST REGION,GUJARAT,RENEWABLE,NTPC Gandhar,20,20,,,
461,AWEMP1PL_PTNGR_IDR_W,WIND,WEST REGION,MADHYA PRADESH,RENEWABLE,SBESS  Wind,324,324,,,
475,NETRA_KOTDA_BHUJ_W,WIND,WEST REGION,GUJARAT,RENEWABLE,Alfanar,119.3,119.3,,,
476,Solapur Solar PV Project,SOLAR,WEST REGION,MAHARASHTRA,RENEWABLE,NTPC,10,10,,,
477,Adani Wind Energy Kutchh Four Ltd,WIND,WEST REGION,GUJARAT,RENEWABLE,Adani,174.3,174.3,,,
478,Apraava Energy Private Limited (AEPL),WIND,WEST REGION,GUJARAT,RENEWABLE,AEPL,107.1,107.1,,,
479,Torrent Solargen Limited,WIND,WEST REGION,GUJARAT,RENEWABLE,Torrent Power (TPL),115,115,,,
480,Sherisha Raipur,SOLAR,WEST REGION,CHHATTISGARH,RENEWABLE,Sherisha RTSSPVFPL,50,50,,,
481,GSEC 2,SOLAR,WEST REGION,GUJARAT,RENEWABLE,GSECL_RSP,100,100,,,
482,Masaya Solar,SOLAR,WEST REGION,MADHYA PRADESH,RENEWABLE,MSEPL(Mayasa solar),250,250,,,
38,KOYNA I AND II,HYDRO,WEST REGION,MAHARASHTRA,STATE_IPP,Maharashtra,600,600,,,
