PLANT_ID,PLANT_NAME,FUEL_TYPE,REGION_NAME,STATE_NAME,UTILITY_TYPE,OWNER_NAME,INSTALLED_CAPACITY,EFFECTIVE_CAPACITY,WBES_ACR,SCADA_ID
1,APML Tiroda,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,ATIL-Adani,3300,3300,APL Tirora,WRLDCMP.SCADA1.A0035990
3,ACBIL,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,ACBIL,493,493,ACBIL,WRLDCMP.SCADA1.A0043261
4,BHIRA,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,150,150,,
5,GMR WARORA,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,GMR WARORA (GWEL),600,600,GMR WARORA,WRLDCMP.SCADA1.A0043293
6,BHIRA PSS,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,150,150,,
8,BHIRA TR,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,80,80,BHIRA TR,WRLDCMP.SCADA3.A0112235
9,BHIVPURI,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,75,75,,
10,BALCO,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,BALCO,1200,1200,BALCO,WRLDCMP.SCADA1.A0043267
11,Bhusawal,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,1210,1210,BHUSAWAL,"WRLDCMP.SCADA1.A0027512,WRLDCMP.SCADA1.A0044926,WRLDCMP.SCADA1.A0044930"
12,DB Power,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,DB Power,1200,1200,DBPL,WRLDCMP.SCADA1.A0043194
13,MAHAN ENERGEN,COAL,WEST REGION,MADHYA PRADESH,REGIONAL_IPP,Essar Mahan (EPMPL),1200,1200,MAHAN ENERGEN,WRLDCMP.SCADA1.A0043299
14,Chandrapur,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,2920,2920,CHANDRAPUR,WRLDCMP.SCADA1.A0046944
15,Adani Raipur,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,REL,1370,1370,APL_Raipur TPP,WRLDCMP.SCADA1.A0043303
17,Dahanu,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,ADTPS,500,500,Dahanu,"WRLDCMP.SCADA1.A0046848,WRLDCMP.SCADA1.A0046849"
18,Dhariwal CTU,COAL,WEST REGION,MAHARASHTRA,REGIONAL_IPP,Dhariwal-STU (DIL),600,600,"DHARIWAL_ISTS,DHARIWAL_STU_MH,DHARIWAL_STU_OTHER",WRLDCMP.SCADA3.A0140276
20,HASDEO BANGO,HYDRO,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,120,120,,WRLDCMP.SCADA1.A0049494
21,JPL Stg-I,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,Jindal power (JPL),1000,1000,JPL,WRLDCMP.SCADA1.A0043318
22,JPL Stg-II,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,Jindal power (JPL),2400,2400,JPL-2,WRLDCMP.SCADA1.A0043323
23,KORBA EAST EXT(DSPM),COAL,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,500,500,DSPM,"WRLDCMP.SCADA1.A0022572,WRLDCMP.SCADA1.A0022575"
26,KORBA(W) CSPGCL,COAL,WEST REGION,CHHATTISGARH,STATE_OWNED,Chattisgarh,1340,1340,Korba West$Korba West Stg 2,WRLDCMP.SCADA1.A0049506
27,GHATGHAR,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,250,250,GHATGHAR_1$GHATGHAR_2,WRLDCMP.SCADA1.A0046850
28,GOM HYDRO,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,38,38,,
30,IEPL,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,IEPL,270,270,IEPL,WRLDCMP.SCADA1.A0046103
31,KSK Mahanadi,COAL,WEST REGION,CHHATTISGARH,REGIONAL_IPP,KSK Mahanadi,1800,1800,KSK_MAHANADI,WRLDCMP.SCADA1.A0043218
32,Jaigad,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,1200,1200,Jaigad,"WRLDCMP.SCADA1.A0045778,WRLDCMP.SCADA1.A0045782,WRLDCMP.SCADA1.A0045786,WRLDCMP.SCADA1.A0045774"
33,KHOPOLI,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,72,72,,
34,KSTPS1&2,COAL,WEST REGION,CHHATTISGARH,ISGS,NTPC,2100,2100,KSTPS I&II,WRLDCMP.SCADA3.A0133868
37,KOYNA DPH,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,40,40,,WRLDCMP.SCADA1.A0046968
38,KOYNA I AND II,HYDRO,WEST REGION,MAHARASHTRA,STATE_IPP,Maharashtra,600,600,,WRLDCMP.SCADA1.A0046854
39,KOYNA III,HYDRO,WEST REGION,MAHARASHTRA,STATE_IPP,Maharashtra,320,320,,WRLDCMP.SCADA1.A0046855
40,KOYNA ST-IV,HYDRO,WEST REGION,MAHARASHTRA,STATE_IPP,Maharashtra,1000,1000,,WRLDCMP.SCADA1.A0046856
41,Khaparkheda,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,1340,1340,KHAPERKHEDA,WRLDCMP.SCADA1.A0046969
42,Amarkantak,COAL,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,210,210,Amarkantak U5,WRLDCMP.SCADA1.A0010209
43,BANASAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,60,60,,
44,BANASAGAR TONS,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,315,315,BANASAGAR TONS,WRLDCMP.SCADA1.A0049525
45,BARGI,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,90,90,Bargi,WRLDCMP.SCADA1.A0049495
46,BIRSINGHPUR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,20,20,BIRSINGHPUR,WRLDCMP.SCADA1.A0010659
47,GANDHISAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,115,115,,
48,Koradi,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,2190,2190,KORADI,"WRLDCMP.SCADA3.A0103157,WRLDCMP.SCADA1.A0031032,WRLDCMP.SCADA1.A0045970,WRLDCMP.SCADA1.A0049539"
51,PARLI,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,750,750,PARLI,"WRLDCMP.SCADA1.A0033449,WRLDCMP.SCADA1.A0033452,WRLDCMP.SCADA3.A0118806"
53,PIONEER(262+127),LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,388,388,,
54,PIONEER(262+127) GT-1,LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,262,262,,
55,PIONEER(262+127) ST-1,LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,127,127,,
56,Paras,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,500,500,PARAS,"WRLDCMP.SCADA1.A0033702,WRLDCMP.SCADA1.A0046861"
58,RATTAN INDIA POWER (N),COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Rattan India (RIPL),1350,1350,,
59,RGPPL,LNG,WEST REGION,MAHARASHTRA,ISGS,RGPPL,1967,1967,"RGPPL-LTRLNG,RGPPL-RLNG",WRLDCMP.SCADA1.A0043354
60,Solapur STPS,COAL,WEST REGION,MAHARASHTRA,ISGS,NTPC,1320,1320,SOLAPUR,WRLDCMP.SCADA3.A0109522
61,INDIRASAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,1000,1000,INDIRASAGAR,WRLDCMP.SCADA1.A0049501
63,J SAGAR,HYDRO,WEST REGION,MADHYA PRADESH,STATE_OWNED,Madhya Pradesh,99,99,,
64,TILLARI,HYDRO,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,66,66,TILLARI,WRLDCMP.SCADA1.A0046866
65,JP Nigrie,COAL,WEST REGION,MADHYA PRADESH,REGIONAL_IPP,Jaypee Nigire (JNSTPP),1320,1320,JPNIGRIE_JNSTPP,WRLDCMP.SCADA1.A0043324
66,TROMBAY,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,750,750,TATA,"WRLDCMP.SCADA1.A0046870,WRLDCMP.SCADA1.A0046865"
69,Uran,LNG,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,672,672,URAN,WRLDCMP.SCADA1.A0046872
71,VIPL,COAL,WEST REGION,MAHARASHTRA,STATE_OWNED,Maharashtra,600,600,,
